Buy Threshold,Sell Threshold,Total Returns,Average Returns,Win Rate (%),Total Trades,Performance vs Buy and Hold (%)
9,69,-83.55,-6.43,38.89,18,-97.01
9,70,-82.73,-6.36,44.44,18,-96.86
9,71,-81.68,-6.28,44.44,18,-96.67
9,72,-82.78,-6.37,44.44,18,-96.87
9,73,-80.01,-6.15,50.0,18,-96.37
9,74,-82.95,-6.38,37.5,16,-96.9
9,75,-75.06,-5.77,50.0,16,-95.47
9,76,-73.77,-5.67,50.0,16,-95.23
9,77,-74.34,-5.72,50.0,16,-95.34
9,78,-79.95,-6.15,35.71,14,-96.35
9,79,-71.59,-5.51,40.0,10,-94.84
9,80,-68.34,-5.26,50.0,10,-94.24
9,81,-65.71,-5.05,62.5,8,-93.77
9,82,-63.93,-4.92,62.5,8,-93.44
9,83,-50.02,-3.85,62.5,8,-90.91
9,84,-15.3,-1.18,71.43,7,-84.6
9,85,-15.3,-1.18,71.43,7,-84.6
9,86,-15.3,-1.18,71.43,7,-84.6
9,87,-13.21,-1.02,71.43,7,-84.22
9,88,-13.21,-1.02,71.43,7,-84.22
9,89,-15.8,-1.22,71.43,7,-84.69
9,90,-15.25,-1.17,71.43,7,-84.59
9,91,107.78,8.29,71.43,7,-62.23
9,92,141.68,10.9,71.43,7,-56.06
9,93,144.44,11.11,71.43,7,-55.56
9,94,172.57,13.27,71.43,7,-50.45
9,95,540.1,41.55,100.0,5,16.36
10,65,-77.2,-5.94,43.48,23,-95.85
10,66,-74.09,-5.7,43.48,23,-95.29
10,67,-72.61,-5.59,43.48,23,-95.02
10,68,-70.2,-5.4,43.48,23,-94.58
10,69,-70.67,-5.44,40.0,20,-94.67
10,70,-69.22,-5.32,45.0,20,-94.4
10,71,-67.67,-5.21,45.0,20,-94.12
10,72,-68.11,-5.24,45.0,20,-94.2
10,73,-63.0,-4.85,50.0,20,-93.27
10,74,-69.16,-5.32,38.89,18,-94.39
10,75,-58.16,-4.47,55.56,18,-92.39
10,76,-55.06,-4.24,55.56,18,-91.83
10,77,-56.07,-4.31,55.56,18,-92.01
10,78,-65.73,-5.06,43.75,16,-93.77
10,79,-53.82,-4.14,50.0,12,-91.6
10,80,-46.52,-3.58,58.33,12,-90.28
10,81,-42.15,-3.24,60.0,10,-89.48
10,82,-40.8,-3.14,60.0,10,-89.24
10,83,-16.94,-1.3,60.0,10,-84.9
10,84,35.63,2.74,66.67,9,-75.34
10,85,35.63,2.74,66.67,9,-75.34
10,86,35.63,2.74,66.67,9,-75.34
10,87,41.48,3.19,66.67,9,-74.28
10,88,41.48,3.19,66.67,9,-74.28
10,89,39.87,3.07,66.67,9,-74.57
10,90,40.56,3.12,66.67,9,-74.45
10,91,125.09,9.62,71.43,7,-59.08
10,92,161.92,12.46,71.43,7,-52.39
10,93,164.7,12.67,71.43,7,-51.88
10,94,195.67,15.05,71.43,7,-46.25
10,95,586.51,45.12,80.0,5,24.8
11,65,-77.08,-5.93,43.48,23,-95.83
11,66,-74.11,-5.7,43.48,23,-95.29
11,67,-72.71,-5.59,43.48,23,-95.04
11,68,-70.31,-5.41,43.48,23,-94.6
11,69,-70.68,-5.44,40.0,20,-94.67
11,70,-69.26,-5.33,45.0,20,-94.41
11,71,-67.62,-5.2,45.0,20,-94.11
11,72,-68.15,-5.24,45.0,20,-94.21
11,73,-63.06,-4.85,50.0,20,-93.28
11,74,-69.17,-5.32,38.89,18,-94.4
11,75,-58.14,-4.47,55.56,18,-92.39
11,76,-55.07,-4.24,55.56,18,-91.83
11,77,-56.08,-4.31,55.56,18,-92.02
11,78,-65.75,-5.06,43.75,16,-93.77
11,79,-53.95,-4.15,50.0,12,-91.63
11,80,-46.56,-3.58,58.33,12,-90.28
11,81,-42.19,-3.25,60.0,10,-89.49
11,82,-40.94,-3.15,60.0,10,-89.26
11,83,-17.1,-1.32,60.0,10,-84.93
11,84,35.52,2.73,66.67,9,-75.36
11,85,35.52,2.73,66.67,9,-75.36
11,86,35.52,2.73,66.67,9,-75.36
11,87,41.15,3.17,66.67,9,-74.34
11,88,41.15,3.17,66.67,9,-74.34
11,89,39.44,3.03,66.67,9,-74.65
11,90,40.42,3.11,66.67,9,-74.47
11,91,124.96,9.61,71.43,7,-59.11
11,92,161.41,12.42,71.43,7,-52.48
11,93,164.19,12.63,71.43,7,-51.97
11,94,195.2,15.02,71.43,7,-46.34
11,95,585.88,45.07,80.0,5,24.69
12,65,-78.1,-6.01,43.48,23,-96.02
12,66,-75.3,-5.79,43.48,23,-95.51
12,67,-73.9,-5.68,43.48,23,-95.25
12,68,-71.65,-5.51,43.48,23,-94.85
12,69,-72.0,-5.54,40.0,20,-94.91
12,70,-70.65,-5.43,45.0,20,-94.67
12,71,-69.05,-5.31,45.0,20,-94.37
12,72,-69.45,-5.34,45.0,20,-94.45
12,73,-64.67,-4.97,50.0,20,-93.58
12,74,-70.42,-5.42,38.89,18,-94.62
12,75,-60.13,-4.63,55.56,18,-92.75
12,76,-57.1,-4.39,55.56,18,-92.2
12,77,-58.06,-4.47,50.0,18,-92.38
12,78,-66.5,-5.12,43.75,16,-93.91
12,79,-54.76,-4.21,50.0,12,-91.78
12,80,-47.53,-3.66,58.33,12,-90.46
12,81,-43.24,-3.33,60.0,10,-89.68
12,82,-41.97,-3.23,60.0,10,-89.45
12,83,-18.59,-1.43,60.0,10,-85.2
