Buy Threshold,Sell Threshold,Total Returns,Average Returns,Win Rate (%),Total Trades,Performance vs Buy and Hold (%)
23,75,-0.09,-0.01,56.25,32,-81.84
23,76,7.24,0.56,56.25,32,-80.51
23,77,7.19,0.55,56.25,32,-80.51
23,78,-5.26,-0.4,53.57,28,-82.78
23,79,29.33,2.26,58.33,24,-76.49
23,80,43.62,3.36,62.5,24,-73.89
23,81,55.56,4.27,68.18,22,-71.72
23,82,58.53,4.5,65.0,20,-71.18
23,83,46.2,3.55,61.11,18,-73.42
23,84,97.54,7.5,60.0,15,-64.09
23,85,99.67,7.67,60.0,15,-63.7
23,86,99.67,7.67,60.0,15,-63.7
23,87,107.46,8.27,60.0,15,-62.29
23,88,155.87,11.99,61.54,13,-53.49
23,89,152.66,11.74,61.54,13,-54.07
23,90,154.34,11.87,61.54,13,-53.76
23,91,169.8,13.06,55.56,9,-50.95
23,92,211.66,16.28,55.56,9,-43.34
23,93,215.08,16.54,55.56,9,-42.72
23,94,242.82,18.68,55.56,9,-37.68
23,95,443.38,34.11,60.0,5,-1.22
24,65,-37.01,-2.85,51.11,45,-88.55
24,66,-41.72,-3.21,51.16,43,-89.4
24,67,-37.66,-2.9,51.16,43,-88.67
24,68,-28.78,-2.21,53.49,43,-87.05
24,69,-25.37,-1.95,50.0,36,-86.43
24,70,-22.73,-1.75,52.78,36,-85.95
24,71,-14.46,-1.11,55.56,36,-84.45
24,72,-9.59,-0.74,55.56,36,-83.56
24,73,4.26,0.33,61.11,36,-81.05
24,74,-8.82,-0.68,55.88,34,-83.42
24,75,0.9,0.07,56.25,32,-81.66
24,76,8.27,0.64,56.25,32,-80.32
24,77,8.34,0.64,56.25,32,-80.3
24,78,-4.37,-0.34,50.0,28,-82.62
24,79,30.6,2.35,58.33,24,-76.26
24,80,44.97,3.46,62.5,24,-73.65
24,81,57.09,4.39,68.18,22,-71.44
24,82,60.11,4.62,65.0,20,-70.89
24,83,47.63,3.66,61.11,18,-73.16
24,84,101.41,7.8,60.0,15,-63.39
24,85,103.56,7.97,60.0,15,-63.0
24,86,103.56,7.97,60.0,15,-63.0
24,87,111.37,8.57,60.0,15,-61.58
24,88,160.53,12.35,61.54,13,-52.64
24,89,157.52,12.12,61.54,13,-53.18
24,90,159.22,12.25,61.54,13,-52.88
24,91,174.87,13.45,55.56,9,-50.03
24,92,217.28,16.71,55.56,9,-42.32
24,93,220.77,16.98,55.56,9,-41.69
24,94,248.96,19.15,55.56,9,-36.56
24,95,443.38,34.11,60.0,5,-1.22
25,65,-43.41,-3.34,46.81,47,-89.71
25,66,-47.62,-3.66,46.67,45,-90.48
25,67,-41.1,-3.16,48.89,45,-89.29
25,68,-32.98,-2.54,51.11,45,-87.82
25,69,-27.76,-2.14,47.37,38,-86.87
25,70,-25.15,-1.93,50.0,38,-86.39
25,71,-17.13,-1.32,50.0,38,-84.93
25,72,-12.51,-0.96,52.63,38,-84.09
25,73,0.97,0.07,60.53,38,-81.65
25,74,-3.35,-0.26,58.33,36,-82.43
25,75,9.33,0.72,58.82,34,-80.12
25,76,13.76,1.06,56.25,32,-79.32
25,77,13.79,1.06,56.25,32,-79.31
25,78,7.1,0.55,50.0,28,-80.53
25,79,46.35,3.57,58.33,24,-73.39
25,80,62.51,4.81,62.5,24,-70.46
25,81,76.03,5.85,68.18,22,-68.0
25,82,79.44,6.11,65.0,20,-67.38
25,83,65.45,5.03,61.11,18,-69.92
25,84,125.12,9.62,60.0,15,-59.08
25,85,127.66,9.82,60.0,15,-58.61
25,86,127.66,9.82,60.0,15,-58.61
25,87,136.15,10.47,60.0,15,-57.07
25,88,157.17,12.09,61.54,13,-53.25
25,89,153.89,11.84,61.54,13,-53.84
25,90,155.56,11.97,61.54,13,-53.54
25,91,174.87,13.45,55.56,9,-50.03
25,92,217.28,16.71,55.56,9,-42.32
25,93,220.77,16.98,55.56,9,-41.69
25,94,248.96,19.15,55.56,9,-36.56
25,95,443.38,34.11,60.0,5,-1.22
26,65,-44.25,-3.4,46.81,47,-89.87
26,66,-48.45,-3.73,46.67,45,-90.63
26,67,-42.02,-3.23,48.89,45,-89.46
26,68,-33.93,-2.61,51.11,45,-87.99
26,69,-30.21,-2.32,47.37,38,-87.31
26,70,-27.74,-2.13,50.0,38,-86.86
26,71,-20.0,-1.54,50.0,38,-85.46
26,72,-15.46,-1.19,52.63,38,-84.63
26,73,-2.46,-0.19,60.53,38,-82.27
26,74,-6.67,-0.51,58.33,36,-83.03
26,75,5.57,0.43,58.82,34,-80.81
26,76,9.81,0.75,56.25,32,-80.04
26,77,9.83,0.76,56.25,32,-80.03
26,78,3.45,0.27,53.57,28,-81.19
26,79,41.35,3.18,58.33,24,-74.3
26,80,56.93,4.38,58.33,24,-71.47
26,81,69.31,5.33,63.64,22,-69.22
26,82,72.61,5.59,60.0,20,-68.62
26,83,59.1,4.55,55.56,18,-71.08
26,84,116.7,8.98,60.0,15,-60.61
26,85,118.94,9.15,60.0,15,-60.2
26,86,118.94,9.15,60.0,15,-60.2
26,87,127.26,9.79,60.0,15,-58.69
26,88,147.57,11.35,61.54,13,-54.99
26,89,144.39,11.11,53.85,13,-55.57
26,90,146.03,11.23,53.85,13,-55.27
26,91,164.38,12.64,55.56,9,-51.94
26,92,205.18,15.78,55.56,9,-44.52
26,93,208.56,16.04,55.56,9,-43.91
26,94,235.67,18.13,55.56,9,-38.98
26,95,422.78,32.52,60.0,5,-4.96
27,65,-48.33,-3.72,46.81,47,-90.61
27,66,-49.36,-3.8,46.67,45,-90.79
27,67,-43.06,-3.31,48.89,45,-89.65
27,68,-35.22,-2.71,51.11,45,-88.22
27,69,-28.25,-2.17,47.37,38,-86.96
27,70,-25.76,-1.98,50.0,38,-86.5
27,71,-17.87,-1.37,50.0,38,-85.07
27,72,-13.18,-1.01,52.63,38,-84.22
27,73,0.16,0.01,60.53,38,-81.79
27,74,-4.16,-0.32,58.33,36,-82.58
27,75,9.02,0.69,58.82,34,-80.18
27,76,13.51,1.04,56.25,32,-79.36
27,77,13.52,1.04,56.25,32,-79.36
27,78,9.81,0.75,57.14,28,-80.04
27,79,37.85,2.91,58.33,24,-74.94
27,80,53.12,4.09,58.33,24,-72.16
27,81,65.23,5.02,63.64,22,-69.96
27,82,68.45,5.27,65.0,20,-69.38
27,83,62.46,4.8,55.56,18,-70.47
27,84,121.15,9.32,60.0,15,-59.8
27,85,123.41,9.49,60.0,15,-59.39
27,86,123.41,9.49,60.0,15,-59.39
27,87,131.8,10.14,60.0,15,-57.86
27,88,148.75,11.44,61.54,13,-54.78
27,89,145.55,11.2,61.54,13,-55.36
27,90,147.2,11.32,61.54,13,-55.06
27,91,165.91,12.76,55.56,9,-51.66
27,92,206.81,15.91,55.56,9,-44.22
27,93,210.21,16.17,55.56,9,-43.61
27,94,237.37,18.26,55.56,9,-38.67
27,95,425.53,32.73,60.0,5,-4.46
28,65,-38.07,-2.93,50.98,51,-88.74
28,66,-39.41,-3.03,51.02,49,-88.99
28,67,-31.76,-2.44,53.06,49,-87.59
28,68,-19.79,-1.52,55.1,49,-85.42
28,69,-9.31,-0.72,52.38,42,-83.51
28,70,-6.27,-0.48,54.76,42,-82.96
28,71,-1.28,-0.1,52.5,40,-82.05
28,72,4.34,0.33,55.0,40,-81.03
28,73,20.34,1.56,62.5,40,-78.12
28,74,14.89,1.15,60.53,38,-79.11
28,75,30.23,2.33,61.11,36,-76.33
28,76,35.07,2.7,58.82,34,-75.44
28,77,35.13,2.7,58.82,34,-75.43
28,78,30.75,2.37,60.0,30,-76.23
28,79,63.21,4.86,61.54,26,-70.33
28,80,80.11,6.16,61.54,26,-67.26
28,81,94.23,7.25,66.67,24,-64.69
28,82,97.98,7.54,68.18,22,-64.01
28,83,93.32,7.18,60.0,20,-64.86
28,84,163.61,12.59,64.71,17,-52.08
28,85,166.36,12.8,64.71,17,-51.58
28,86,166.99,12.85,64.71,17,-51.46
28,87,173.77,13.37,64.71,17,-50.23
28,88,193.62,14.89,66.67,15,-46.62
28,89,190.1,14.62,66.67,15,-47.26
28,90,205.04,15.77,66.67,15,-44.55
28,91,227.83,17.53,63.64,11,-40.4
28,92,275.36,21.18,63.64,11,-31.76
28,93,286.33,22.03,63.64,11,-29.77
28,94,237.37,18.26,55.56,9,-38.67
28,95,425.53,32.73,60.0,5,-4.46
29,65,-30.78,-2.37,52.83,53,-87.42
29,66,-32.26,-2.48,52.94,51,-87.68
29,67,-23.86,-1.84,54.9,51,-86.16
29,68,-10.31,-0.79,56.86,51,-83.7
29,69,-8.53,-0.66,52.38,42,-83.37
29,70,-5.45,-0.42,54.76,42,-82.81
29,71,-0.49,-0.04,52.5,40,-81.91
29,72,5.19,0.4,55.0,40,-80.88
29,73,21.41,1.65,62.5,40,-77.93
29,74,15.96,1.23,60.53,38,-78.92
29,75,31.43,2.42,61.11,36,-76.11
29,76,36.28,2.79,58.82,34,-75.23
29,77,36.27,2.79,58.82,34,-75.23
29,78,31.94,2.46,60.0,30,-76.01
29,79,64.62,4.97,61.54,26,-70.07
29,80,81.6,6.28,61.54,26,-66.99
29,81,95.94,7.38,66.67,24,-64.38
29,82,99.73,7.67,68.18,22,-63.69
29,83,95.03,7.31,60.0,20,-64.55
29,84,165.9,12.76,64.71,17,-51.66
29,85,168.67,12.97,64.71,17,-51.16
29,86,169.3,13.02,64.71,17,-51.04
29,87,176.32,13.56,64.71,17,-49.77
29,88,196.26,15.1,66.67,15,-46.14
29,89,192.52,14.81,66.67,15,-46.82
29,90,207.52,15.96,66.67,15,-44.1
29,91,230.66,17.74,63.64,11,-39.89
29,92,278.64,21.43,63.64,11,-31.17
29,93,289.6,22.28,63.64,11,-29.17
29,94,240.44,18.5,66.67,9,-38.11
29,95,427.95,32.92,80.0,5,-4.02
30,65,-32.39,-2.49,52.83,53,-87.71
30,66,-33.77,-2.6,52.94,51,-87.96
30,67,-25.45,-1.96,54.9,51,-86.45
30,68,-12.23,-0.94,56.86,51,-84.04
30,69,-10.51,-0.81,52.38,42,-83.73
30,70,-7.54,-0.58,52.38,42,-83.19
30,71,-2.58,-0.2,50.0,40,-82.29
30,72,2.98,0.23,52.5,40,-81.28
30,73,18.74,1.44,60.0,40,-78.41
30,74,13.47,1.04,60.53,38,-79.37
30,75,28.65,2.2,61.11,36,-76.61
30,76,33.36,2.57,58.82,34,-75.76
30,77,33.37,2.57,58.82,34,-75.75
30,78,29.12,2.24,56.67,30,-76.53
30,79,61.11,4.7,57.69,26,-70.71
30,80,77.72,5.98,61.54,26,-67.69
30,81,95.45,7.34,66.67,24,-64.47
30,82,99.23,7.63,68.18,22,-63.78
30,83,94.56,7.27,60.0,20,-64.63
30,84,165.26,12.71,64.71,17,-51.78
30,85,168.04,12.93,64.71,17,-51.27
30,86,168.66,12.97,64.71,17,-51.16
30,87,175.41,13.49,64.71,17,-49.93
30,88,195.34,15.03,66.67,15,-46.31
30,89,191.84,14.76,66.67,15,-46.95
30,90,206.83,15.91,66.67,15,-44.22
30,91,229.97,17.69,63.64,11,-40.02
30,92,277.61,21.35,63.64,11,-31.35
30,93,288.61,22.2,63.64,11,-29.35
30,94,239.49,18.42,66.67,9,-38.28
30,95,427.95,32.92,80.0,5,-4.02
31,65,-29.66,-2.28,52.73,55,-87.21
31,66,-24.13,-1.86,53.85,52,-86.21
31,67,-14.67,-1.13,53.85,52,-84.49
31,68,0.07,0.01,55.77,52,-81.81
31,69,1.2,0.09,51.16,43,-81.6
31,70,4.7,0.36,51.16,43,-80.97
31,71,10.16,0.78,48.78,41,-79.97
31,72,16.35,1.26,51.22,41,-78.85
31,73,34.29,2.64,58.54,41,-75.59
31,74,28.35,2.18,58.97,39,-76.67
31,75,45.53,3.5,62.16,37,-73.54
31,76,53.63,4.13,60.0,35,-72.07
31,77,53.51,4.12,60.0,35,-72.09
31,78,48.92,3.76,58.06,31,-72.93
31,79,85.84,6.6,59.26,27,-66.22
31,80,105.17,8.09,62.96,27,-62.7
31,81,125.69,9.67,68.0,25,-58.97
31,82,138.74,10.67,69.57,23,-56.6
31,83,133.07,10.24,61.9,21,-57.63
31,84,153.63,11.82,64.71,17,-53.89
31,85,156.08,12.01,64.71,17,-53.45
31,86,156.68,12.05,64.71,17,-53.34
31,87,163.58,12.58,64.71,17,-52.08
31,88,188.56,14.5,66.67,15,-47.54
31,89,184.86,14.22,66.67,15,-48.22
31,90,199.58,15.35,66.67,15,-45.54
31,91,222.18,17.09,63.64,11,-41.43
31,92,268.79,20.68,63.64,11,-32.96
31,93,279.35,21.49,63.64,11,-31.04
31,94,241.78,18.6,66.67,9,-37.87
31,95,425.18,32.71,80.0,5,-4.53
32,65,-27.04,-2.08,54.39,57,-86.74
32,66,-26.13,-2.01,53.85,52,-86.57
32,67,-16.86,-1.3,53.85,52,-84.89
32,68,-2.52,-0.19,55.77,52,-82.28
32,69,-0.67,-0.05,51.16,43,-81.94
32,70,2.72,0.21,51.16,43,-81.33
32,71,8.17,0.63,48.78,41,-80.34
32,72,14.17,1.09,51.22,41,-79.25
32,73,31.82,2.45,58.54,41,-76.04
32,74,26.01,2.0,58.97,39,-77.09
32,75,45.11,3.47,62.16,37,-73.62
32,76,53.28,4.1,60.0,35,-72.14
32,77,53.3,4.1,60.0,35,-72.13
32,78,48.56,3.74,58.06,31,-72.99
32,79,85.61,6.59,59.26,27,-66.26
32,80,104.8,8.06,62.96,27,-62.77
32,81,125.32,9.64,68.0,25,-59.04
32,82,138.45,10.65,69.57,23,-56.65
32,83,132.68,10.21,61.9,21,-57.7
32,84,153.19,11.78,64.71,17,-53.97
32,85,155.88,11.99,64.71,17,-53.48
32,86,156.51,12.04,64.71,17,-53.37
32,87,163.17,12.55,64.71,17,-52.16
32,88,186.92,14.38,66.67,15,-47.84
32,89,183.15,14.09,66.67,15,-48.53
32,90,197.86,15.22,66.67,15,-45.85
32,91,225.66,17.36,63.64,11,-40.8
32,92,273.06,21.0,63.64,11,-32.18
32,93,283.74,21.83,63.64,11,-30.24
32,94,245.91,18.92,66.67,9,-37.12
32,95,429.6,33.05,80.0,5,-3.72
33,65,-31.02,-2.39,54.39,57,-87.46
33,66,-30.12,-2.32,53.85,52,-87.3
33,67,-21.38,-1.64,53.85,52,-85.71
33,68,-7.8,-0.6,55.77,52,-83.24
33,69,-5.91,-0.45,51.16,43,-82.9
33,70,-2.69,-0.21,51.16,43,-82.31
33,71,2.45,0.19,48.78,41,-81.38
33,72,8.09,0.62,51.22,41,-80.35
33,73,24.82,1.91,58.54,41,-77.31
33,74,19.19,1.48,58.97,39,-78.33
33,75,36.07,2.77,59.46,37,-75.26
33,76,43.81,3.37,57.14,35,-73.86
33,77,43.85,3.37,57.14,35,-73.85
33,78,39.47,3.04,54.84,31,-74.65
33,79,77.53,5.96,55.56,27,-67.73
33,80,95.97,7.38,59.26,27,-64.37
33,81,115.57,8.89,64.0,25,-60.81
33,82,128.23,9.86,65.22,23,-58.51
33,83,122.73,9.44,57.14,21,-59.51
33,84,150.36,11.57,58.82,17,-54.49
33,85,152.81,11.75,58.82,17,-54.04
33,86,153.66,11.82,58.82,17,-53.89
33,87,160.3,12.33,64.71,17,-52.68
33,88,183.65,14.13,66.67,15,-48.43
33,89,179.9,13.84,66.67,15,-49.12
33,90,194.26,14.94,66.67,15,-46.51
33,91,225.66,17.36,63.64,11,-40.8
33,92,273.06,21.0,63.64,11,-32.18
33,93,283.74,21.83,63.64,11,-30.24
33,94,245.91,18.92,66.67,9,-37.12
33,95,429.6,33.05,80.0,5,-3.72
34,65,-30.63,-2.36,54.39,57,-87.39
34,66,-30.12,-2.32,53.85,52,-87.3
34,67,-21.35,-1.64,53.85,52,-85.7
34,68,-7.71,-0.59,55.77,52,-83.22
34,69,-3.54,-0.27,51.16,43,-82.46
34,70,-0.28,-0.02,51.16,43,-81.87
34,71,4.94,0.38,48.78,41,-80.92
34,72,10.86,0.84,51.22,41,-79.85
34,73,27.92,2.15,58.54,41,-76.74
34,74,22.24,1.71,58.97,39,-77.78
34,75,39.46,3.04,59.46,37,-74.65
34,76,47.31,3.64,57.14,35,-73.22
34,77,47.35,3.64,57.14,35,-73.21
34,78,42.87,3.3,54.84,31,-74.03
34,79,81.8,6.29,55.56,27,-66.95
34,80,100.62,7.74,59.26,27,-63.53
34,81,120.58,9.28,68.0,25,-59.9
34,82,131.36,10.1,69.57,23,-57.94
34,83,125.83,9.68,61.9,21,-58.95
34,84,153.8,11.83,64.71,17,-53.86
34,85,156.52,12.04,64.71,17,-53.37
34,86,157.12,12.09,64.71,17,-53.26
34,87,163.8,12.6,64.71,17,-52.04
34,88,187.57,14.43,66.67,15,-47.72
34,89,184.06,14.16,66.67,15,-48.36
34,90,198.53,15.27,66.67,15,-45.73
34,91,225.66,17.36,63.64,11,-40.8
34,92,273.06,21.0,63.64,11,-32.18
34,93,283.74,21.83,63.64,11,-30.24
34,94,245.91,18.92,66.67,9,-37.12
34,95,429.6,33.05,80.0,5,-3.72
35,65,-24.53,-1.89,57.38,61,-86.28
35,66,-23.98,-1.84,57.14,56,-86.18
35,67,-15.24,-1.17,57.41,54,-84.59
35,68,-0.81,-0.06,59.26,54,-81.97
35,69,2.7,0.21,55.56,45,-81.33
35,70,6.26,0.48,55.56,45,-80.68
35,71,11.9,0.92,53.49,43,-79.66
35,72,17.99,1.38,55.81,43,-78.55
35,73,36.15,2.78,62.79,43,-75.25
35,74,34.69,2.67,60.98,41,-75.51
35,75,52.17,4.01,61.54,39,-72.34
35,76,60.85,4.68,62.16,37,-70.76
35,77,60.82,4.68,62.16,37,-70.76
35,78,55.93,4.3,60.61,33,-71.65
35,79,101.23,7.79,65.52,29,-63.42
35,80,122.08,9.39,65.52,29,-59.63
35,81,135.83,10.45,70.37,27,-57.13
35,82,147.46,11.34,68.0,25,-55.01
35,83,141.35,10.87,65.22,23,-56.13
35,84,171.42,13.19,63.16,19,-50.66
35,85,174.23,13.4,63.16,19,-50.15
35,86,174.81,13.45,63.16,19,-50.04
35,87,186.52,14.35,63.16,19,-47.91
35,88,216.16,16.63,64.71,17,-42.52
35,89,212.22,16.32,64.71,17,-43.24
35,90,227.23,17.48,64.71,17,-40.51
35,91,268.83,20.68,69.23,13,-32.95
35,92,308.1,23.7,63.64,11,-25.81
35,93,319.53,24.58,63.64,11,-23.73
35,94,280.29,21.56,66.67,9,-30.87
35,95,424.65,32.67,80.0,5,-4.62
