Buy Threshold,Sell Threshold,Risk Reward Ratio,Loss Buffer,Risk Per Trade,Start Date,End Date,Backtest Duration,Total Trades,Total Buys,Total Sells,Initial Balance,Final Balance,Total Returns,Total Returns (%),Annualised Returns (%),Average Returns,Average Returns (%),Average Trade Duration,Number of Winners,Number of Long Winners,Number of Short Winners,Average Winner Returns,Average Winner Returns (%),Number of Losers,Number of Long Losers,Number of Short Losers,Average Loser Returns,Average Loser Returns (%),Win Rate (%),Average Drawdown,Average Drawdown (%),Max Loss Streak,Buy and Hold Returns,Buy and Hold Returns (%),Annualised Buy and Hold Returns (%),Performance vs Buy and Hold (%)
5,75,4,2,3,2011-01-03,2024-08-01,4959,92,31,61,100000,22253.53,-77746.47,-77.75,-5.98,-845.07,-0.85,22,9,4,5,5029.86,11.97,83,27,56,-1482.11,-2.99,9.78,-1408.0,-2.86,17,450086.03,350.09,26.93,-95.06
5,75,4,2,4,2011-01-03,2024-08-01,4959,92,31,61,100000,12956.13,-87043.87,-87.04,-6.7,-946.13,-0.95,22,9,4,5,5197.77,15.96,83,27,56,-1612.33,-3.99,9.78,-1528.28,-3.81,17,450086.03,350.09,26.93,-97.12
5,75,4,2,5,2011-01-03,2024-08-01,4959,92,31,61,100000,7399.6,-92600.4,-92.6,-7.12,-1006.53,-1.01,22,9,4,5,5139.98,19.9,83,27,56,-1673.01,-4.98,9.78,-1582.29,-4.76,17,450086.03,350.09,26.93,-98.36
5,75,4,3,1,2011-01-03,2024-08-01,4959,68,27,41,100000,74988.92,-25011.08,-25.01,-1.92,-367.81,-0.37,42,8,4,4,3215.52,3.98,60,23,37,-845.59,-1.0,11.76,-823.65,-0.98,23,450086.03,350.09,26.93,-83.34
5,75,4,3,2,2011-01-03,2024-08-01,4959,68,27,41,100000,55265.64,-44734.36,-44.73,-3.44,-657.86,-0.66,42,8,4,4,5163.88,7.97,60,23,37,-1434.09,-1.99,11.76,-1389.94,-1.95,23,450086.03,350.09,26.93,-87.72
5,75,4,3,3,2011-01-03,2024-08-01,4959,68,27,41,100000,40104.22,-59895.78,-59.9,-4.61,-880.82,-0.88,42,8,4,4,6185.45,11.96,60,23,37,-1822.99,-2.99,11.76,-1757.79,-2.93,23,450086.03,350.09,26.93,-91.09
5,75,4,3,4,2011-01-03,2024-08-01,4959,68,27,41,100000,28657.03,-71342.97,-71.34,-5.49,-1049.16,-1.05,42,8,4,4,6543.58,15.96,60,23,37,-2061.53,-3.99,11.76,-1976.97,-3.91,23,450086.03,350.09,26.93,-93.63
5,75,4,3,5,2011-01-03,2024-08-01,4959,68,27,41,100000,20136.33,-79863.67,-79.86,-6.14,-1174.47,-1.17,42,8,4,4,6444.48,19.94,60,23,37,-2190.33,-4.99,11.76,-2088.29,-4.88,23,450086.03,350.09,26.93,-95.53
5,75,4,4,1,2011-01-03,2024-08-01,4959,55,21,34,100000,81570.72,-18429.28,-18.43,-1.42,-335.08,-0.34,71,7,4,3,3358.23,3.98,48,17,31,-873.69,-0.99,12.73,-829.4,-0.95,18,450086.03,350.09,26.93,-81.88
5,75,4,4,2,2011-01-03,2024-08-01,4959,55,21,34,100000,65668.75,-34331.25,-34.33,-2.64,-624.2,-0.62,71,7,4,3,5648.27,7.99,48,17,31,-1538.94,-1.99,12.73,-1455.94,-1.9,18,450086.03,350.09,26.93,-85.41
5,75,4,4,3,2011-01-03,2024-08-01,4959,55,21,34,100000,52292.92,-47707.08,-47.71,-3.67,-867.4,-0.87,71,7,4,3,7066.5,11.97,48,17,31,-2024.43,-2.99,12.73,-1908.36,-2.85,18,450086.03,350.09,26.93,-88.38
5,75,4,4,4,2011-01-03,2024-08-01,4959,55,21,34,100000,41174.57,-58825.43,-58.83,-4.53,-1069.55,-1.07,71,7,4,3,7824.79,15.96,48,17,31,-2366.64,-3.99,12.73,-2222.53,-3.8,18,450086.03,350.09,26.93,-90.85
5,75,4,4,5,2011-01-03,2024-08-01,4959,55,21,34,100000,32155.98,-67844.02,-67.84,-5.22,-1233.53,-1.23,71,7,4,3,8086.06,19.93,48,17,31,-2592.63,-4.99,12.73,-2425.26,-4.75,18,450086.03,350.09,26.93,-92.86
5,75,4,5,1,2011-01-03,2024-08-01,4959,46,20,26,100000,84869.68,-15130.32,-15.13,-1.16,-328.92,-0.33,92,6,4,2,3345.01,3.96,40,16,24,-880.01,-0.99,13.04,-818.96,-0.93,15,450086.03,350.09,26.93,-81.14
5,75,4,5,2,2011-01-03,2024-08-01,4959,46,20,26,100000,71423.93,-28576.07,-28.58,-2.2,-621.22,-0.62,92,6,4,2,5648.84,7.97,40,16,24,-1561.73,-1.99,13.04,-1448.72,-1.86,15,450086.03,350.09,26.93,-84.13
5,75,4,5,3,2011-01-03,2024-08-01,4959,46,20,26,100000,59448.74,-40551.26,-40.55,-3.12,-881.55,-0.88,92,6,4,2,7080.22,11.95,40,16,24,-2075.81,-2.99,13.04,-1918.44,-2.79,15,450086.03,350.09,26.93,-86.79
5,75,4,5,4,2011-01-03,2024-08-01,4959,46,20,26,100000,49113.06,-50886.94,-50.89,-3.91,-1106.24,-1.11,92,6,4,2,7853.52,15.94,40,16,24,-2450.2,-3.99,13.04,-2256.11,-3.72,15,450086.03,350.09,26.93,-89.09
5,75,4,5,5,2011-01-03,2024-08-01,4959,46,20,26,100000,40252.82,-59747.18,-59.75,-4.6,-1298.85,-1.3,92,6,4,2,8152.16,19.96,40,16,24,-2716.5,-4.99,13.04,-2492.17,-4.66,15,450086.03,350.09,26.93,-91.06
5,75,5,1,1,2011-01-03,2024-08-01,4959,152,43,109,100000,52452.2,-47547.8,-47.55,-3.66,-312.81,-0.31,8,15,7,8,3143.45,4.99,137,36,101,-691.24,-1.0,9.87,-685.59,-1.0,25,450086.03,350.09,26.93,-88.35
5,75,5,1,2,2011-01-03,2024-08-01,4959,152,43,109,100000,26234.83,-73765.17,-73.77,-5.67,-485.3,-0.49,8,15,7,8,4003.18,9.98,137,36,101,-976.74,-2.0,9.87,-958.12,-2.0,25,450086.03,350.09,26.93,-94.17
5,75,5,1,3,2011-01-03,2024-08-01,4959,152,43,109,100000,12529.13,-87470.87,-87.47,-6.73,-575.47,-0.58,8,15,7,8,3902.98,14.96,137,36,101,-1065.81,-3.0,9.87,-1034.47,-3.0,25,450086.03,350.09,26.93,-97.22
5,75,5,1,4,2011-01-03,2024-08-01,4959,152,43,109,100000,5750.71,-94249.29,-94.25,-7.25,-620.06,-0.62,8,15,7,8,3493.4,19.94,137,36,101,-1070.44,-3.99,9.87,-1029.06,-4.0,25,450086.03,350.09,26.93,-98.72
5,75,5,1,5,2011-01-03,2024-08-01,4959,152,43,109,100000,2527.46,-97472.54,-97.47,-7.5,-641.27,-0.64,8,15,7,8,3050.56,24.84,137,36,101,-1045.48,-4.98,9.87,-996.9,-4.99,25,450086.03,350.09,26.93,-99.44
5,75,5,2,1,2011-01-03,2024-08-01,4959,91,31,60,100000,57144.14,-42855.86,-42.86,-3.3,-470.94,-0.47,25,6,3,3,3226.08,4.97,85,28,57,-731.91,-1.0,6.59,-708.93,-0.97,32,450086.03,350.09,26.93,-87.3
5,75,5,2,2,2011-01-03,2024-08-01,4959,91,31,60,100000,31936.95,-68063.05,-68.06,-5.24,-747.95,-0.75,25,6,3,3,4172.69,9.97,85,28,57,-1095.28,-2.0,6.59,-1056.76,-1.94,32,450086.03,350.09,26.93,-92.9
5,75,5,2,3,2011-01-03,2024-08-01,4959,91,31,60,100000,17481.36,-82518.64,-82.52,-6.35,-906.8,-0.91,25,6,3,3,4026.2,14.93,85,28,57,-1255.01,-2.99,6.59,-1205.79,-2.91,32,450086.03,350.09,26.93,-96.12
5,75,5,2,4,2011-01-03,2024-08-01,4959,91,31,60,100000,9390.23,-90609.77,-90.61,-6.97,-995.71,-1.0,25,6,3,3,3448.4,19.87,85,28,57,-1309.41,-3.99,6.59,-1252.59,-3.87,32,450086.03,350.09,26.93,-97.91
5,75,5,2,5,2011-01-03,2024-08-01,4959,91,31,60,100000,4959.88,-95040.12,-95.04,-7.31,-1044.4,-1.04,25,6,3,3,2769.5,24.79,85,28,57,-1313.61,-4.98,6.59,-1251.35,-4.84,32,450086.03,350.09,26.93,-98.9
5,75,5,3,1,2011-01-03,2024-08-01,4959,67,27,40,100000,77219.31,-22780.69,-22.78,-1.75,-340.01,-0.34,51,7,4,3,3989.0,4.97,60,23,37,-845.06,-1.0,10.45,-823.93,-0.98,23,450086.03,350.09,26.93,-82.84
5,75,5,3,2,2011-01-03,2024-08-01,4959,67,27,40,100000,58540.74,-41459.26,-41.46,-3.19,-618.79,-0.62,51,7,4,3,6362.53,9.96,60,23,37,-1433.28,-1.99,10.45,-1390.68,-1.95,23,450086.03,350.09,26.93,-86.99
5,75,5,3,3,2011-01-03,2024-08-01,4959,67,27,40,100000,43651.03,-56348.97,-56.35,-4.33,-841.03,-0.84,51,7,4,3,7554.22,14.96,60,23,37,-1820.48,-2.99,10.45,-1757.51,-2.93,23,450086.03,350.09,26.93,-90.3
5,75,5,3,4,2011-01-03,2024-08-01,4959,67,27,40,100000,31996.38,-68003.62,-68.0,-5.23,-1014.98,-1.01,51,7,4,3,7915.52,19.93,60,23,37,-2056.87,-3.99,10.45,-1975.26,-3.91,23,450086.03,350.09,26.93,-92.89
5,75,5,3,5,2011-01-03,2024-08-01,4959,67,27,40,100000,23180.0,-76820.0,-76.82,-5.91,-1146.57,-1.15,51,7,4,3,7736.94,24.93,60,23,37,-2182.98,-4.99,10.45,-2085.16,-4.89,23,450086.03,350.09,26.93,-94.85
5,75,5,4,1,2011-01-03,2024-08-01,4959,54,20,34,100000,78256.21,-21743.79,-21.74,-1.67,-402.66,-0.4,81,5,3,2,3966.05,4.95,49,17,32,-848.45,-0.99,9.26,-818.4,-0.96,18,450086.03,350.09,26.93,-82.61
5,75,5,4,2,2011-01-03,2024-08-01,4959,54,20,34,100000,60558.79,-39441.21,-39.44,-3.03,-730.39,-0.73,81,5,3,2,6356.37,9.96,49,17,32,-1453.53,-1.99,9.26,-1396.47,-1.93,18,450086.03,350.09,26.93,-86.55
5,75,5,4,3,2011-01-03,2024-08-01,4959,54,20,34,100000,46318.09,-53681.91,-53.68,-4.13,-994.11,-0.99,81,5,3,2,7568.6,14.96,49,17,32,-1867.86,-2.99,9.26,-1786.89,-2.9,18,450086.03,350.09,26.93,-89.71
5,75,5,4,4,2011-01-03,2024-08-01,4959,54,20,34,100000,35059.14,-64940.86,-64.94,-5.0,-1202.61,-1.2,81,5,3,2,7972.12,19.97,49,17,32,-2138.81,-3.99,9.26,-2037.26,-3.87,18,450086.03,350.09,26.93,-92.21
5,75,5,4,5,2011-01-03,2024-08-01,4959,54,20,34,100000,26202.77,-73797.23,-73.8,-5.68,-1366.62,-1.37,81,5,3,2,7809.44,24.89,49,17,32,-2302.95,-4.99,9.26,-2183.76,-4.83,18,450086.03,350.09,26.93,-94.18
5,75,5,5,1,2011-01-03,2024-08-01,4959,43,20,23,100000,87357.63,-12642.37,-12.64,-0.97,-294.01,-0.29,110,5,4,1,4250.5,4.97,38,16,22,-891.97,-0.99,11.63,-836.77,-0.94,15,450086.03,350.09,26.93,-80.59
5,75,5,5,2,2011-01-03,2024-08-01,4959,43,20,23,100000,75344.78,-24655.22,-24.66,-1.9,-573.38,-0.57,110,5,4,1,7237.44,9.95,38,16,22,-1601.12,-1.99,11.63,-1497.44,-1.87,15,450086.03,350.09,26.93,-83.26
5,75,5,5,3,2011-01-03,2024-08-01,4959,43,20,23,100000,64330.45,-35669.55,-35.67,-2.74,-829.52,-0.83,110,5,4,1,9215.21,14.95,38,16,22,-2151.2,-2.99,11.63,-2005.99,-2.82,15,450086.03,350.09,26.93,-85.71
5,75,5,5,4,2011-01-03,2024-08-01,4959,43,20,23,100000,54293.33,-45706.67,-45.71,-3.52,-1062.95,-1.06,110,5,4,1,10352.95,19.95,38,16,22,-2565.04,-3.99,11.63,-2384.49,-3.76,15,450086.03,350.09,26.93,-87.94
5,75,5,5,5,2011-01-03,2024-08-01,4959,43,20,23,100000,45369.4,-54630.6,-54.63,-4.2,-1270.48,-1.27,110,5,4,1,10835.07,24.9,38,16,22,-2863.31,-4.99,11.63,-2653.35,-4.69,15,450086.03,350.09,26.93,-89.92
5,75,6,1,1,2011-01-03,2024-08-01,4959,152,43,109,100000,46023.34,-53976.66,-53.98,-4.15,-355.11,-0.36,9,11,5,6,3373.75,5.98,141,38,103,-646.01,-1.0,7.24,-629.5,-0.98,34,450086.03,350.09,26.93,-89.77
5,75,6,1,2,2011-01-03,2024-08-01,4959,152,43,109,100000,20165.07,-79834.93,-79.83,-6.14,-525.23,-0.53,9,11,5,6,4000.7,11.97,141,38,103,-878.32,-2.0,7.24,-850.38,-1.96,34,450086.03,350.09,26.93,-95.52
5,75,6,1,3,2011-01-03,2024-08-01,4959,152,43,109,100000,8461.22,-91538.78,-91.54,-7.04,-602.23,-0.6,9,11,5,6,3824.83,17.95,141,38,103,-947.6,-2.99,7.24,-913.24,-2.94,34,450086.03,350.09,26.93,-98.12
5,75,6,1,4,2011-01-03,2024-08-01,4959,152,43,109,100000,3383.72,-96616.28,-96.62,-7.43,-635.63,-0.64,9,11,5,6,3520.75,23.83,141,38,103,-959.89,-3.99,7.24,-922.38,-3.91,34,450086.03,350.09,26.93,-99.25
5,75,6,1,5,2011-01-03,2024-08-01,4959,152,43,109,100000,1303.35,-98696.65,-98.7,-7.59,-649.32,-0.65,9,11,5,6,3277.67,29.48,141,38,103,-955.68,-4.96,7.24,-916.88,-4.87,34,450086.03,350.09,26.93,-99.71
5,75,6,2,1,2011-01-03,2024-08-01,4959,91,31,60,100000,52810.75,-47189.25,-47.19,-3.63,-518.56,-0.52,28,4,3,1,3892.86,5.98,87,28,59,-721.39,-1.0,4.4,-711.12,-0.99,32,450086.03,350.09,26.93,-88.27
5,75,6,2,2,2011-01-03,2024-08-01,4959,91,31,60,100000,27286.71,-72713.29,-72.71,-5.59,-799.05,-0.8,28,4,3,1,5052.85,11.96,87,28,59,-1068.1,-1.99,4.4,-1049.19,-1.97,32,450086.03,350.09,26.93,-93.94
5,75,6,2,3,2011-01-03,2024-08-01,4959,91,31,60,100000,13855.41,-86144.59,-86.14,-6.63,-946.64,-0.95,28,4,3,1,4915.74,17.95,87,28,59,-1216.18,-2.99,4.4,-1190.22,-2.96,32,450086.03,350.09,26.93,-96.92
5,75,6,2,4,2011-01-03,2024-08-01,4959,91,31,60,100000,6900.67,-93099.33,-93.1,-7.16,-1023.07,-1.02,28,4,3,1,4241.79,23.91,87,28,59,-1265.13,-3.98,4.4,-1233.46,-3.94,32,450086.03,350.09,26.93,-98.47
5,75,6,2,5,2011-01-03,2024-08-01,4959,91,31,60,100000,3388.48,-96611.52,-96.61,-7.43,-1061.67,-1.06,28,4,3,1,3427.31,29.85,87,28,59,-1268.05,-4.97,4.4,-1231.84,-4.92,32,450086.03,350.09,26.93,-99.25
5,75,6,3,1,2011-01-03,2024-08-01,4959,66,26,40,100000,78065.6,-21934.4,-21.93,-1.69,-332.34,-0.33,57,6,3,3,4683.0,5.97,60,23,37,-833.87,-1.0,9.09,-813.99,-0.98,23,450086.03,350.09,26.93,-82.66
5,75,6,3,2,2011-01-03,2024-08-01,4959,66,26,40,100000,59945.18,-40054.82,-40.05,-3.08,-606.89,-0.61,57,6,3,3,7307.99,11.96,60,23,37,-1398.38,-1.99,9.09,-1358.53,-1.96,23,450086.03,350.09,26.93,-86.68
5,75,6,3,3,2011-01-03,2024-08-01,4959,66,26,40,100000,45374.94,-54625.06,-54.63,-4.2,-827.65,-0.83,57,6,3,3,8503.52,17.97,60,23,37,-1760.77,-2.99,9.09,-1702.19,-2.94,23,450086.03,350.09,26.93,-89.92
5,75,6,3,4,2011-01-03,2024-08-01,4959,66,26,40,100000,33762.11,-66237.89,-66.24,-5.1,-1003.6,-1.0,57,6,3,3,8712.89,23.92,60,23,37,-1975.25,-3.99,9.09,-1899.51,-3.92,23,450086.03,350.09,26.93,-92.5
5,75,6,3,5,2011-01-03,2024-08-01,4959,66,26,40,100000,24875.45,-75124.55,-75.12,-5.78,-1138.25,-1.14,57,6,3,3,8338.75,29.92,60,23,37,-2085.95,-4.99,9.09,-1995.53,-4.89,23,450086.03,350.09,26.93,-94.47
5,75,6,4,1,2011-01-03,2024-08-01,4959,54,20,34,100000,82136.33,-17863.67,-17.86,-1.37,-330.81,-0.33,87,5,3,2,4872.63,5.96,49,17,32,-861.77,-1.0,9.26,-831.77,-0.96,18,450086.03,350.09,26.93,-81.75
5,75,6,4,2,2011-01-03,2024-08-01,4959,54,20,34,100000,66483.58,-33516.42,-33.52,-2.58,-620.67,-0.62,87,5,3,2,7923.17,11.95,49,17,32,-1492.5,-1.99,9.26,-1435.09,-1.93,18,450086.03,350.09,26.93,-85.23
5,75,6,4,3,2011-01-03,2024-08-01,4959,54,20,34,100000,53025.31,-46974.69,-46.97,-3.61,-869.9,-0.87,87,5,3,2,9583.13,17.92,49,17,32,-1936.54,-2.99,9.26,-1854.78,-2.9,18,450086.03,350.09,26.93,-88.22
5,75,6,4,4,2011-01-03,2024-08-01,4959,54,20,34,100000,41753.31,-58246.69,-58.25,-4.48,-1078.64,-1.08,87,5,3,2,10248.97,23.87,49,17,32,-2234.52,-3.99,9.26,-2131.69,-3.87,18,450086.03,350.09,26.93,-90.72
5,75,6,4,5,2011-01-03,2024-08-01,4959,54,20,34,100000,32607.9,-67392.1,-67.39,-5.18,-1248.0,-1.25,87,5,3,2,10260.95,29.9,49,17,32,-2422.38,-4.99,9.26,-2301.99,-4.83,18,450086.03,350.09,26.93,-92.76
5,75,6,5,1,2011-01-03,2024-08-01,4959,43,20,23,100000,91886.69,-8113.31,-8.11,-0.62,-188.68,-0.19,116,5,4,1,5213.91,5.97,38,16,22,-899.55,-0.99,11.63,-844.58,-0.93,15,450086.03,350.09,26.93,-79.58
5,75,6,5,2,2011-01-03,2024-08-01,4959,43,20,23,100000,83297.69,-16702.31,-16.7,-1.28,-388.43,-0.39,116,5,4,1,9063.51,11.93,38,16,22,-1632.1,-1.99,11.63,-1528.75,-1.87,15,450086.03,350.09,26.93,-81.49
5,75,6,5,3,2011-01-03,2024-08-01,4959,43,20,23,100000,74722.84,-25277.16,-25.28,-1.94,-587.84,-0.59,116,5,4,1,11783.65,17.92,38,16,22,-2215.67,-2.99,11.63,-2070.55,-2.82,15,450086.03,350.09,26.93,-83.4
5,75,6,5,4,2011-01-03,2024-08-01,4959,43,20,23,100000,66521.42,-33478.58,-33.48,-2.58,-778.57,-0.78,116,5,4,1,13596.16,23.94,38,16,22,-2669.98,-3.99,11.63,-2489.37,-3.76,15,450086.03,350.09,26.93,-85.22
5,75,6,5,5,2011-01-03,2024-08-01,4959,43,20,23,100000,58622.82,-41377.18,-41.38,-3.18,-962.26,-0.96,116,5,4,1,14616.19,29.92,38,16,22,-3012.06,-4.99,11.63,-2801.55,-4.69,15,450086.03,350.09,26.93,-86.98
5,75,8,1,1,2011-01-03,2024-08-01,4959,152,43,109,100000,43625.85,-56374.15,-56.37,-4.34,-370.88,-0.37,10,8,4,4,4310.66,7.99,144,39,105,-630.97,-1.0,5.26,-616.78,-0.98,48,450086.03,350.09,26.93,-90.31
5,75,8,1,2,2011-01-03,2024-08-01,4959,152,43,109,100000,17922.98,-82077.02,-82.08,-6.31,-539.98,-0.54,10,8,4,4,4912.82,15.93,144,39,105,-842.91,-2.0,5.26,-820.22,-1.96,48,450086.03,350.09,26.93,-96.02
